department_code,ministry_department_code,department_name,school,city,website,active,notes
DIPAE_OIK_001,1603,Τμήμα Διοίκησης Εφοδιαστικής Αλυσίδας,Σχολή Οικονομίας και Διοίκησης,Κατερίνη,,1,
DIPAE_OIK_002,1605,Τμήμα Διοίκησης Οργανισμών Μάρκετινγκ και Τουρισμού,Σχολή Οικονομίας και Διοίκησης,Θεσσαλονίκη,,1,
DIPAE_OIK_003,1606,Τμήμα Λογιστικής και Πληροφοριακών Συστημάτων,Σχολή Οικονομίας και Διοίκησης,Θεσσαλονίκη,,1,
DIPAE_OIK_004,1602,Τμήμα Οικονομικών Επιστημών,Σχολή Οικονομίας και Διοίκησης,Σέρρες,https://www.es.ihu.gr/,1,
DIPAE_OIK_005,1601,Τμήμα Οργάνωσης και Διοίκησης Επιχειρήσεων,Σχολή Οικονομίας και Διοίκησης,Σέρρες,,1,
DIPAE_KOIN_001,1610,Τμήμα Αγωγής και Φροντίδας στην Πρώιμη Παιδική Ηλικία,Σχολή Κοινωνικών Επιστημών,Θεσσαλονίκη,,1,
DIPAE_KOIN_002,1609,Τμήμα Βιβλιοθηκονομίας Αρχειονομίας και Συστημάτων Πληροφόρησης,Σχολή Κοινωνικών Επιστημών,Θεσσαλονίκη,,1,
DIPAE_YGEIA_001,1615,Τμήμα Βιοϊατρικών Επιστημών,Σχολή Επιστημών Υγείας,Θεσσαλονίκη,,1,
DIPAE_YGEIA_002,1613,Τμήμα Επιστημών Διατροφής και Διαιτολογίας,Σχολή Επιστημών Υγείας,Θεσσαλονίκη,,1,
DIPAE_YGEIA_003,1614,Τμήμα Μαιευτικής,Σχολή Επιστημών Υγείας,Θεσσαλονίκη,,1,
DIPAE_YGEIA_004,1618,Τμήμα Νοσηλευτικής,Σχολή Επιστημών Υγείας,Θεσσαλονίκη,,1,
DIPAE_YGEIA_005,1616,Τμήμα Φυσικοθεραπείας,Σχολή Επιστημών Υγείας,Θεσσαλονίκη,,1,
DIPAE_POL_001,1619,Τμήμα Μηχανολόγων Μηχανικών,Πολυτεχνική Σχολή,Σέρρες,,1,
DIPAE_POL_002,1622,Τμήμα Μηχανικών Πληροφορικής Υπολογιστών και Τηλεπικοινωνιών,Πολυτεχνική Σχολή,Σέρρες,,1,
DIPAE_POL_003,1623,Τμήμα Μηχανικών Περιβάλλοντος,Πολυτεχνική Σχολή,Θεσσαλονίκη,,1,
DIPAE_POL_004,1624,Τμήμα Μηχανικών Παραγωγής και Διοίκησης,Πολυτεχνική Σχολή,Θεσσαλονίκη,https://www.iem.ihu.gr/,1,
DIPAE_POL_005,1625,Τμήμα Μηχανικών Πληροφορικής και Ηλεκτρονικών Συστημάτων,Πολυτεχνική Σχολή,Θεσσαλονίκη,https://www.iee.ihu.gr/,1,
DIPAE_MICH_001,1620,Τμήμα Μηχανικών Τοπογραφίας και Γεωπληροφορικής,Σχολή Μηχανικών,Σέρρες,,1,
DIPAE_MICH_002,1621,Τμήμα Πολιτικών Μηχανικών,Σχολή Μηχανικών,Σέρρες,,1,
DIPAE_SCHED_001,1627,Τμήμα Δημιουργικού Σχεδιασμού και Ένδυσης,Σχολή Επιστημών Σχεδιασμού,Κιλκίς,,1,
DIPAE_SCHED_002,1626,Τμήμα Εσωτερικής Αρχιτεκτονικής,Σχολή Επιστημών Σχεδιασμού,Σέρρες,,1,
DIPAE_GEO_001,1634,Τμήμα Γεωπονίας,Σχολή Γεωτεχνικών Επιστημών,Θεσσαλονίκη,,1,
DIPAE_GEO_002,1635,Τμήμα Επιστήμης και Τεχνολογίας Τροφίμων,Σχολή Γεωτεχνικών Επιστημών,Θεσσαλονίκη,,1,
